taskId,g,t,k,sizeBytes,deadlineSec,priority,isRedundant,originTaskId,payloadPath,payloadOffset,payloadLen
1,0,0,0,7621,0.35,0.9172245739745113,0,0,data/segments/hq/seg_00000.mp4,0,7621
10561,0,0,0,7621,0.35,0.36688982958980454,1,1,data/segments/hq/seg_00000.mp4,0,7621
2,0,0,1,335,0.35,0.7451040599314234,0,0,data/segments/lq/seg_00000.mp4,0,335
10562,0,0,1,335,0.35,0.29804162397256934,1,2,data/segments/lq/seg_00000.mp4,0,335
3,0,0,2,335,0.35,0.6122266484944249,0,0,data/segments/lq/seg_00000.mp4,335,335
4,0,0,3,335,0.35,0.5574102215766209,0,0,data/segments/lq/seg_00000.mp4,670,335
5,0,0,4,335,0.35,0.6122266484944249,0,0,data/segments/lq/seg_00000.mp4,1005,335
6,0,0,5,335,0.35,0.7451040599314234,0,0,data/segments/lq/seg_00000.mp4,1340,335
10563,0,0,5,335,0.35,0.29804162397256934,1,6,data/segments/lq/seg_00000.mp4,1340,335
7,0,0,6,7621,0.35,0.9172245739745113,0,0,data/segments/hq/seg_00000.mp4,7621,7621
10564,0,0,6,7621,0.35,0.36688982958980454,1,7,data/segments/hq/seg_00000.mp4,7621,7621
8,0,0,7,7621,0.35,1.0,0,0,data/segments/hq/seg_00000.mp4,15242,7621
10565,0,0,7,7621,0.35,0.4,1,8,data/segments/hq/seg_00000.mp4,15242,7621
9,0,1,0,7621,0.3833333333333333,0.5717864676362265,0,0,data/segments/hq/seg_00000.mp4,22863,7621
10,0,1,1,335,0.3833333333333333,0.3497142023434409,0,0,data/segments/lq/seg_00000.mp4,1675,335
11,0,1,2,335,0.3833333333333333,0.14313568711708924,0,0,data/segments/lq/seg_00000.mp4,2010,335
12,0,1,3,335,0.3833333333333333,0.0,0,0,data/segments/lq/seg_00000.mp4,2345,335
13,0,1,4,335,0.3833333333333333,0.14313568711708924,0,0,data/segments/lq/seg_00000.mp4,2680,335
14,0,1,5,335,0.3833333333333333,0.3497142023434409,0,0,data/segments/lq/seg_00000.mp4,3015,335
15,0,1,6,7621,0.3833333333333333,0.5717864676362265,0,0,data/segments/hq/seg_00000.mp4,30484,7621
16,0,1,7,7621,0.3833333333333333,0.671465251360264,0,0,data/segments/hq/seg_00000.mp4,38105,7621
10566,0,1,7,7621,0.3833333333333333,0.26858610054410564,1,16,data/segments/hq/seg_00000.mp4,38105,7621
17,0,2,0,7621,0.4166666666666667,0.5717864676362265,0,0,data/segments/hq/seg_00000.mp4,45726,7621
18,0,2,1,335,0.4166666666666667,0.3497142023434409,0,0,data/segments/lq/seg_00000.mp4,3350,335
19,0,2,2,335,0.4166666666666667,0.14313568711708924,0,0,data/segments/lq/seg_00000.mp4,3685,335
20,0,2,3,335,0.4166666666666667,0.0,0,0,data/segments/lq/seg_00000.mp4,4020,335
21,0,2,4,335,0.4166666666666667,0.14313568711708924,0,0,data/segments/lq/seg_00000.mp4,4355,335
22,0,2,5,335,0.4166666666666667,0.3497142023434409,0,0,data/segments/lq/seg_00000.mp4,4690,335
23,0,2,6,7621,0.4166666666666667,0.5717864676362265,0,0,data/segments/hq/seg_00000.mp4,53347,7621
24,0,2,7,7621,0.4166666666666667,0.671465251360264,0,0,data/segments/hq/seg_00000.mp4,60968,7621
10567,0,2,7,7621,0.4166666666666667,0.26858610054410564,1,24,data/segments/hq/seg_00000.mp4,60968,7621
25,0,3,0,7621,0.45,0.5717864676362265,0,0,data/segments/hq/seg_00000.mp4,68589,7621
26,0,3,1,335,0.45,0.3497142023434409,0,0,data/segments/lq/seg_00000.mp4,5025,335
27,0,3,2,335,0.45,0.14313568711708924,0,0,data/segments/lq/seg_00000.mp4,5360,335
28,0,3,3,335,0.45,0.0,0,0,data/segments/lq/seg_00000.mp4,5695,335
29,0,3,4,335,0.45,0.14313568711708924,0,0,data/segments/lq/seg_00000.mp4,6030,335
30,0,3,5,335,0.45,0.3497142023434409,0,0,data/segments/lq/seg_00000.mp4,6365,335
31,0,3,6,7621,0.45,0.5717864676362265,0,0,data/segments/hq/seg_00000.mp4,76210,7621
32,0,3,7,7621,0.45,0.671465251360264,0,0,data/segments/hq/seg_00000.mp4,83831,7621
10568,0,3,7,7621,0.45,0.26858610054410564,1,32,data/segments/hq/seg_00000.mp4,83831,7621
33,0,4,0,7621,0.48333333333333334,0.5717864676362265,0,0,data/segments/hq/seg_00000.mp4,91452,7621
34,0,4,1,335,0.48333333333333334,0.3497142023434409,0,0,data/segments/lq/seg_00000.mp4,6700,335
35,0,4,2,335,0.48333333333333334,0.14313568711708924,0,0,data/segments/lq/seg_00000.mp4,7035,335
36,0,4,3,335,0.48333333333333334,0.0,0,0,data/segments/lq/seg_00000.mp4,7370,335
37,0,4,4,335,0.48333333333333334,0.14313568711708924,0,0,data/segments/lq/seg_00000.mp4,7705,335
38,0,4,5,335,0.48333333333333334,0.3497142023434409,0,0,data/segments/lq/seg_00000.mp4,8040,335
