taskId,g,t,k,sizeBytes,deadlineSec,priority,isRedundant,originTaskId,payloadPath,payloadOffset,payloadLen
1,0,0,0,280,0.35,0.7223463141676387,0,0,data/segments/lq/seg_00000.mp4,0,280
10561,0,0,0,280,0.35,0.2889385256670555,1,1,data/segments/lq/seg_00000.mp4,0,280
2,0,0,1,280,0.35,0.6362611633326708,0,0,data/segments/lq/seg_00000.mp4,280,280
10562,0,0,1,280,0.35,0.2545044653330683,1,2,data/segments/lq/seg_00000.mp4,280,280
3,0,0,2,280,0.35,0.7223463141676387,0,0,data/segments/lq/seg_00000.mp4,560,280
10563,0,0,2,280,0.35,0.2889385256670555,1,3,data/segments/lq/seg_00000.mp4,560,280
4,0,0,3,280,0.35,0.8429809329613956,0,0,data/segments/lq/seg_00000.mp4,840,280
10564,0,0,3,280,0.35,0.3371923731845583,1,4,data/segments/lq/seg_00000.mp4,840,280
5,0,0,4,11431,0.35,0.9542851643070085,0,0,data/segments/hq/seg_00000.mp4,0,11431
10565,0,0,4,11431,0.35,0.3817140657228034,1,5,data/segments/hq/seg_00000.mp4,0,11431
6,0,0,5,11431,0.35,1.0,0,0,data/segments/hq/seg_00000.mp4,11431,11431
10566,0,0,5,11431,0.35,0.4,1,6,data/segments/hq/seg_00000.mp4,11431,11431
7,0,0,6,280,0.35,0.9542851643070085,0,0,data/segments/lq/seg_00000.mp4,1120,280
10567,0,0,6,280,0.35,0.3817140657228034,1,7,data/segments/lq/seg_00000.mp4,1120,280
8,0,0,7,280,0.35,0.8429809329613956,0,0,data/segments/lq/seg_00000.mp4,1400,280
10568,0,0,7,280,0.35,0.3371923731845583,1,8,data/segments/lq/seg_00000.mp4,1400,280
9,0,1,0,280,0.3833333333333333,0.2053290899953866,0,0,data/segments/lq/seg_00000.mp4,1680,280
10,0,1,1,280,0.3833333333333333,0.0,0,0,data/segments/lq/seg_00000.mp4,1960,280
11,0,1,2,280,0.3833333333333333,0.2053290899953866,0,0,data/segments/lq/seg_00000.mp4,2240,280
12,0,1,3,280,0.3833333333333333,0.3887390520572175,0,0,data/segments/lq/seg_00000.mp4,2520,280
13,0,1,4,11431,0.3833333333333333,0.5367939906797652,0,0,data/segments/hq/seg_00000.mp4,22862,11431
